name,lat,lon_e,diameter_km,body,catalogue_scope
Danilova,-26.381,337.242,48.8,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Voynich,35.365,56.138,48.7,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Cunitz,14.479,350.924,48.6,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Willard,-24.646,296.064,48.4,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Cotton,70.758,300.197,48.1,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Deken,47.132,288.482,48.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Morisot,-61.173,211.337,48.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Millay,24.43,111.223,48.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Barto,45.336,146.252,48.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Fouquet,-15.089,203.52,47.8,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Marsh,-63.598,46.596,47.7,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Volkova,75.161,242.173,47.5,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Truth,28.676,287.75,47.3,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Hull,59.401,263.553,47.3,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Patti,35.017,301.591,47.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Potter,7.173,309.121,46.9,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Corpman,0.325,151.84,46.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Obukhova,70.724,289.691,46.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Leyster,0.96,260.043,45.8,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Dashkova,78.237,306.484,45.1,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Austen,-25.006,168.423,45.1,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Ruslanova,83.94,16.6,44.3,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Wollstonecraft,-39.141,260.81,44.1,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Khatun,40.317,87.196,44.1,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Rhys,8.57,298.792,44.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Guan Daosheng,-61.088,181.805,43.6,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Hayasi,53.766,243.878,43.1,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Lonsdale,55.602,222.353,43.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Tubman,23.626,204.568,42.9,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
