crater_id,lat,lon_e,diameter_km,diameter_sd_km,mapped_arc_fraction,rim_point_count,body,source_doi,catalogue_scope
09-2-000006,-36.876,147.503,271.335,5.75889,0.530386,437,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
09-1-001375,-46.9292,176.671,269.991,2.47532,0.128679,176,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
08-1-001000,39.9689,98.9372,266.669,5.44937,0.366206,942,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
09-1-000628,-19.7286,149.299,260.423,3.92481,0.651957,1017,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
09-1-000806,-31.1438,112.796,253.916,7.02369,0.777185,1026,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
00-1-000001,44.7763,328.602,249.84,5.99621,0.627328,2785,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
09-1-000581,-19.5296,123.353,238.504,4.27057,0.596125,669,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
09-1-000456,-11.5517,104.848,237.179,4.29198,0.532628,672,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
05-2-000009,-32.5381,354.615,234.223,6.02836,0.578223,491,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
09-1-001662,-38.1933,179.169,233.596,5.43714,0.574485,676,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
08-1-000273,51.107,164.905,232.367,5.17571,0.597201,1800,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
00-1-000020,45.4832,152.893,229.381,2.49119,0.287867,228,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
09-1-000330,-10.248,156.83,228.621,3.9189,0.712202,638,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
