object,body,lat,lon_e,diameter_km,ring_diameters_km,ring_ratios,number_of_nested_rings,ring_confidence_inner_to_outer,source_table,source_doi,interpretation,selection_scope
Argyre,Mars,-50.0,317.0,1900,"[410, 630, 800, 1100, 1360, 1900]","[1.536585, 1.269841, 1.375, 1.236364, 1.397059]",6,possible;certain;certain;probable;probable;probable,"Pike and Spudis (1987), Table I",10.1007/BF00054060,historical mapped ring interpretation; outer rings may be uncertain and names/limits may be superseded,three clearly legible classical named basins; not a complete Martian crater catalogue
Isidis,Mars,13.0,88.0,3800,"[700, 1500, 3000, 3800]","[2.142857, 2.0, 1.266667]",4,certain;certain;certain;possible,"Pike and Spudis (1987), Table I",10.1007/BF00054060,historical mapped ring interpretation; outer rings may be uncertain and names/limits may be superseded,three clearly legible classical named basins; not a complete Martian crater catalogue
Hellas,Mars,-41.0,65.0,5500,"[840, 1200, 1700, 2200, 3100, 4400, 5500]","[1.428571, 1.416667, 1.294118, 1.409091, 1.419355, 1.25]",7,probable;probable;probable;certain;certain;certain;possible,"Pike and Spudis (1987), Table I",10.1007/BF00054060,historical mapped ring interpretation; outer rings may be uncertain and names/limits may be superseded,three clearly legible classical named basins; not a complete Martian crater catalogue
