candidate_id,crust1_cell_lat,crust1_cell_lon,crust1_context_only,crust1_crust_thickness_km,crust1_lower_crust_density,crust1_lower_crust_vp,crust1_sediment_thickness_km,crust1_upper_crust_density,crust1_upper_crust_vp,crust1_water_thickness_km,diameter_km,gravity_bouguer_angular_continuity,gravity_bouguer_annular_anomaly_robust,gravity_bouguer_annular_gradient_enrichment,gravity_bouguer_central_annular_contrast,gravity_bouguer_central_anomaly_robust,gravity_bouguer_diameter_pixels,gravity_bouguer_radial_alignment,gravity_bouguer_ring_score,gravity_bouguer_valid_fraction,gravity_disturbance_angular_continuity,gravity_disturbance_annular_anomaly_robust,gravity_disturbance_annular_gradient_enrichment,gravity_disturbance_central_annular_contrast,gravity_disturbance_central_anomaly_robust,gravity_disturbance_diameter_pixels,gravity_disturbance_radial_alignment,gravity_disturbance_ring_score,gravity_disturbance_valid_fraction,gravity_freeair_angular_continuity,gravity_freeair_annular_anomaly_robust,gravity_freeair_annular_gradient_enrichment,gravity_freeair_central_annular_contrast,gravity_freeair_central_anomaly_robust,gravity_freeair_diameter_pixels,gravity_freeair_radial_alignment,gravity_freeair_ring_score,gravity_freeair_valid_fraction,gravity_isostatic_angular_continuity,gravity_isostatic_annular_anomaly_robust,gravity_isostatic_annular_gradient_enrichment,gravity_isostatic_central_annular_contrast,gravity_isostatic_central_anomaly_robust,gravity_isostatic_diameter_pixels,gravity_isostatic_radial_alignment,gravity_isostatic_ring_score,gravity_isostatic_valid_fraction,lat,lon,magnetic_angular_continuity,magnetic_annular_anomaly_robust,magnetic_annular_gradient_enrichment,magnetic_central_annular_contrast,magnetic_central_anomaly_robust,magnetic_diameter_pixels,magnetic_radial_alignment,magnetic_ring_score,magnetic_valid_fraction,sediment_angular_continuity,sediment_annular_anomaly_robust,sediment_annular_gradient_enrichment,sediment_central_annular_contrast,sediment_central_anomaly_robust,sediment_diameter_pixels,sediment_radial_alignment,sediment_ring_score,sediment_valid_fraction,source_index,tid_annulus_transition_fraction,tid_artifact_risk,tid_background_transition_fraction,tid_direct_fraction,tid_dominant_flag,tid_dominant_fraction,tid_land_fraction,tid_modelled_fraction,tid_normalized_entropy,tid_transition_angular_coverage,tid_transition_enrichment,tid_unique_flags,tid_valid_fraction
arc_0000,-29.5,28.5,1,36.90000057220459,2.9200000762939453,6.900000095367432,0.10000000149011612,2.740000009536743,6.099999904632568,0.0,570.56771408281,0.3333333333333333,-0.09286916547696646,1.1266425306482255,-0.8355030973356629,-0.9283722628126293,165.26831039219033,0.03731331021672784,0.3359874363081009,1.0,0.3333333333333333,0.17167872683174204,1.038174985194574,0.8422139721910976,1.0138926990228396,165.26831039219033,0.015697865750259797,0.3058607286192899,1.0,0.3333333333333333,-0.037491937391957206,0.9819678283916978,0.27234084785591506,0.23484891046395784,165.26831039219033,0.0020537559791044767,0.29202607396300995,1.0,0.3611111111111111,0.11788364434905883,1.1268786210407793,-0.20226625691793934,-0.08438261256888051,165.26831039219033,0.03963259537262922,0.3461852345637627,1.0,-29.819003434842106,28.84565426576646,0.2222222222222222,-0.16402721157811095,0.8239851790101034,0.03774784969837083,-0.12627936187974012,165.26578859791275,-0.07462285610956407,0.23971877795860402,1.0,0.4444444444444444,0.02856444641947904,0.9673855342399622,0.11119429105452526,0.1397587374740043,66.10631543915665,0.13299698710217925,0.09373663049536467,0.264919941775837,0,0.08046914839367669,0.23903287428017064,0.0835690081275956,0.09084658577267345,0,0.7353926074943659,0.7353926074943659,0.17376080673296068,0.42836819581795194,0.1388888888888889,0.962906586982749,6,1.0
arc_0001,-21.5,39.5,1,11.330000042915344,3.049999952316284,7.099999904632568,3.200000047683716,2.549999952316284,5.0,2.4700000286102295,1312.7048165416913,0.3333333333333333,-0.27068271440575864,0.970978778691835,0.8381614282243123,0.5674787138185536,183.32402507561858,-0.00993220593853851,0.2899285306274224,1.0,0.3333333333333333,0.19796682945173663,0.9371117282727798,-0.6943451423217134,-0.4963783128699768,183.32402507561858,0.009915564770017505,0.29340189050141974,1.0,0.3611111111111111,-0.1319266219413824,0.946456794707142,0.04383010184613044,-0.08809652009525197,183.32402507561858,0.005314422643692685,0.3023189128515351,1.0,0.3888888888888889,-0.21176958369533147,0.9911921993690667,0.4439121233003645,0.23214253960503303,183.32402507561858,0.01578003015647554,0.3138726163884943,1.0,-21.081600763162303,39.08190555908565,0.16666666666666666,-0.5361214968232955,0.6871647440467014,0.11104067713015747,-0.425080819693138,183.32253900391325,-0.32545838208448413,0.17637811646854862,1.0,0.4166666666666667,-0.10336805197809845,0.8831568555769813,0.7886422679627287,0.6852742159846302,146.658031203122,0.545054476355965,0.22356886446065768,0.5371438430444642,1,0.1524403933366261,0.31473819550438864,0.18357683071882225,0.190367281043993,0,0.4634961209022826,0.4634961209022826,0.3461365980537244,0.5817210115100455,0.3611111111111111,0.8303901572966652,8,1.0
arc_0002,-25.5,27.5,1,43.5,2.9100000858306885,6.800000190734863,0.20000000298023224,2.759999990463257,6.199999809265137,0.0,26.075430113525837,0.05555555555555555,0.26875493896776403,2.597826986351224,-0.9546506356594381,-0.685895696691674,7.3974230316147445,0.6806927720126572,0.1252731624319557,1.0,0.05555555555555555,-0.23634566751325387,2.9542166993092143,1.1672752398642263,0.9309295723509724,7.3974230316147445,0.8091689750194854,0.13255106158063998,1.0,0.027777777777777776,-0.32634622265427976,1.6245334467083385,0.3350125164159275,0.00866629376164773,7.3974230316147445,0.10229627405485615,0.0783333310573427,1.0,0.05555555555555555,0.26407436142879004,2.5440595475842915,-0.9476455716135922,-0.6835712101848022,7.3974230316147445,0.6810942176906065,0.12474401653603949,1.0,-25.250101914362133,27.079880134728885,0.027777777777777776,-0.038154556049669504,2.4463325674002054,0.8742541857270709,0.8360996296774014,7.397310155897323,0.24011789644587322,0.10515363887939222,1.0,,,,,,2.958924062358755,,nan,0.0,2,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,-0.0,0.0,0.0,1,1.0
arc_0003,-29.5,18.5,1,41.999999046325684,2.9200000762939453,6.900000095367432,0.0,2.740000009536743,6.099999904632568,0.0,121.57587189473726,0.3055555555555556,-0.07305906820273474,0.955024393475299,0.014692440026312953,-0.058366628176421784,35.14435650568876,0.06869993106329575,0.2939669323805212,1.0,0.3888888888888889,0.14158262004210312,0.9083653290467844,0.1330951798000465,0.27467779984214963,35.14435650568876,0.12551335720373086,0.333075948621764,1.0,0.3888888888888889,0.03928352013119581,0.9596638902094088,0.2587433222859843,0.2980268424171801,35.14435650568876,0.16697430580972064,0.3403316146278122,1.0,0.3333333333333333,0.217086106279475,0.95897739978988,0.04570951373421395,0.26279562001368895,35.14435650568876,0.025491301855571073,0.2961276444913916,1.0,-29.413234282050862,18.826103519607546,0.3333333333333333,-0.21078377275021443,1.1774478704661258,-0.03827880294848893,-0.24906257569870335,35.14382024536622,0.09346847831650057,0.3607062170170347,1.0,,,,,,14.057528098145442,,nan,0.0,3,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,-0.0,0.0,0.0,1,1.0
arc_0004,-28.5,25.5,1,35.60000038146973,2.9100000858306885,6.800000190734863,0.4000000059604645,2.759999990463257,6.199999809265137,0.0,207.16537781803297,0.19444444444444445,0.11195720904290356,0.9271781079041898,-0.1279254518797181,-0.015968242836814552,59.678586143210524,0.11999730265210694,0.2640550835196742,1.0,0.2222222222222222,-0.5524414923236648,0.953854838802381,0.40204643780660776,-0.150395054517057,59.678586143210524,0.1963815369192093,0.2871445467386394,1.0,0.08333333333333333,-0.23799559157948513,0.8368662092745214,0.09851948917533832,-0.13947610240414682,59.678586143210524,0.10511673853727774,0.22256209591069026,1.0,0.19444444444444445,-0.03344327162455118,0.9335594880638501,-0.11716693196917422,-0.1506102035937254,59.678586143210524,0.10819719673066555,0.26199006498342203,1.0,-28.697601905991167,25.716646899357396,0.3888888888888889,-0.22469736658162925,1.0081141826168223,0.32565615380446966,0.10095878722284038,59.677675520253224,0.02605506893911049,0.31810494953816354,1.0,,,,,,23.87107020809951,,nan,0.0,4,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,-0.0,0.0,0.0,1,1.0
arc_0005,-28.5,25.5,1,35.60000038146973,2.9100000858306885,6.800000190734863,0.4000000059604645,2.759999990463257,6.199999809265137,0.0,284.04840415145713,0.2777777777777778,-0.07937071912503571,0.9843049665451334,0.19001160901871977,0.11064088989368406,81.82790179379447,-0.02189573590642859,0.2683904684385972,1.0,0.3055555555555556,-0.3928735882654791,1.0628396313760955,0.06989226202156695,-0.3229813262439121,81.82790179379447,0.1491764054929995,0.3268774297160341,1.0,0.3333333333333333,-0.34933315517313984,1.052232501470809,0.2559177570341295,-0.09341539813901033,81.82790179379447,0.1094882795680342,0.3264826313166307,1.0,0.3055555555555556,-0.2568419906648567,0.9933777118368136,0.21915721030896432,-0.037684780355892365,81.82790179379447,-0.01979307410498103,0.2784806564760728,1.0,-28.7013189132344,25.712021650261445,0.4722222222222222,-0.15940653397962912,1.0057234691074972,0.07107252558082357,-0.08833400839880555,81.82665319910186,-0.032086558679274235,0.33637965199240305,1.0,,,,,,32.730661279638305,,nan,0.0,5,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,-0.0,0.0,0.0,1,1.0
arc_0006,-26.5,24.5,1,36.989999771118164,2.9100000858306885,6.800000190734863,0.5,2.759999990463257,6.199999809265137,0.0,211.26490404172432,0.4444444444444444,-0.10743013383055622,1.1522382284619825,-0.3496339965340457,-0.4570641303646019,60.288916904871854,0.004870626148044324,0.3767297896575513,1.0,0.3055555555555556,-0.17276063676442371,1.0685568471266536,0.2754693598063251,0.10270872304190139,60.288916904871854,-0.0791733048616909,0.2886240086933081,1.0,0.3333333333333333,0.0161380050276857,1.077086603188833,-0.2621571714122117,-0.24601916638452598,60.288916904871854,-0.028580263096284107,0.30974540268741113,1.0,0.4444444444444444,-0.011011919646007272,1.1385937691000392,-0.3754382522313543,-0.3864501718773616,60.288916904871854,0.035092388072840854,0.37801066968128394,1.0,-26.638976859956774,24.205378322692713,0.5277777777777778,-0.3119280167796468,1.4157278714934272,0.41535277967141115,0.10342476289176432,60.287996969006215,0.17592713249034325,0.5085070610136428,1.0,,,,,,24.115198787600686,,nan,0.0,6,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,-0.0,0.0,0.0,1,1.0
arc_0007,-28.5,18.5,1,41.89999961853027,2.9200000762939453,6.900000095367432,0.10000000149011612,2.740000009536743,6.099999904632568,0.0,143.4195796110822,0.4166666666666667,-0.3806177779117694,0.840466604906864,0.5319731509516037,0.15135537303983426,41.24216180221282,-0.026641495863557435,0.3161710715572108,1.0,0.6111111111111112,-0.11609693831036313,1.306318929352753,0.25416741722321395,0.13807047891285082,41.24216180221282,0.29877551335546393,0.5302999826652878,1.0,0.5555555555555556,-0.2406659725958628,1.1914948754616541,0.36011444875585824,0.11944847615999542,41.24216180221282,0.2751311712386597,0.47434879439732297,1.0,0.4722222222222222,-0.29668729179303394,0.8463328009148295,0.545208119044894,0.24852082725186003,41.24216180221282,-0.01194047268702467,0.33818819505754844,1.0,-28.324373002926702,18.15579507263195,0.19444444444444445,-0.20060498137394223,0.6230096380158089,0.44851515426196564,0.2479101728880234,41.24153249676555,-0.15894092888720518,0.21524089300029464,1.0,,,,,,16.496612998704986,,nan,0.0,7,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,-0.0,0.0,0.0,1,1.0
arc_0008,-31.5,18.5,1,35.79999923706055,2.940000057220459,7.0,0.20000000298023224,2.7899999618530273,6.300000190734863,0.0,46.64000741080838,0.5555555555555556,-0.007764562376034069,1.271127962446398,-0.3834552435497839,-0.39121980592581795,13.612356675226865,0.21155159716105776,0.2918961535612139,1.0,0.4444444444444444,0.024907095950429885,0.9183046516840023,0.6603893287726972,0.685296424723127,13.612356675226865,-0.08269904336087767,0.18989404238862045,1.0,0.2222222222222222,-0.13827276622303952,0.907129669946505,0.22926602538651497,0.09099325916347545,13.612356675226865,-0.05587907502050141,0.14598702997562135,1.0,0.5,-0.001199633900686642,1.150867665578299,-0.408774994374036,-0.4099746282747227,13.612356675226865,0.18565012641252066,0.2567753518331136,1.0,-31.290438494896588,18.334367473107037,0.4444444444444444,-0.2727386809347579,1.2542201301192375,-0.2583531057911093,-0.5310917867258672,13.61214896714776,0.19807389316999519,0.26426377485050084,1.0,,,,,,5.444859586858698,,nan,0.0,8,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,-0.0,0.0,0.0,1,1.0
arc_0009,-31.5,18.5,1,35.79999923706055,2.940000057220459,7.0,0.20000000298023224,2.7899999618530273,6.300000190734863,0.0,45.15548061483282,0.3055555555555556,-0.07940075770632427,0.825075972871263,-0.28172339368398586,-0.3611241513903101,13.17493869031114,0.17144116177126312,0.178880710487178,1.0,0.3611111111111111,0.23923823229125168,1.0497590654782283,0.4109195275679944,0.6501577598592461,13.17493869031114,0.05363965789753071,0.1867623228287893,1.0,0.4166666666666667,0.02229362100956943,1.1903025974843926,0.023333390012437876,0.04562701102200731,13.17493869031114,-0.15653518971968083,0.20061640606608294,1.0,0.3055555555555556,-0.025272242321794536,0.8925967537052902,-0.3275302516099973,-0.35280249393179186,13.17493869031114,0.09919667601210409,0.17163091190456334,1.0,-31.23107751938829,18.250287952828515,0.3333333333333333,-0.21758834155819978,1.0903807395346856,-0.3672953630315992,-0.584883704589799,13.174737656700799,-0.04136412612212167,0.17860265558905591,1.0,,,,,,5.269895062679926,,nan,0.0,9,0.0,0.0,0.00477326968973747,0.001288229400257646,0,0.9977575265995515,0.9977575265995515,0.0009542440001908488,0.01307891231280627,0.0,0.0,4,1.0
