angular_continuity,annular_relief_normalized,best_radius_ratio,candidate_id,centre_match,centre_shift_ratio,data_quality,diameter_km,followup_score,geology_boundary_coincidence,geology_boundary_crossings,geology_independence,geology_nearby_boundaries,geology_nearby_types,geometry_angular_coverage,geometry_relative_radial_mad,hough_percentile,lat,lon,name,native_diameter_pixels,radial_alignment,radius_km,radius_match,rank,relief_score,sample_cols,sample_rows,source_index,source_stride_x,source_stride_y,terrain_iqr_m,topography_score,topography_score_unweighted
0.7222222222222222,0.45657737079739413,1.0000000000000002,arc_0037,0.6003730411984044,0.1,1.0,76.83006933609774,0.8024859147939911,0.0,0,1.0,0,,1.0,0.006294820571969421,1.0,-25.611038226231305,23.27613624325525,#013,174.62804633660878,0.1833582634083728,38.41503466804887,1.0,1,0.42729057285636896,322,290,37,1,1,7.69183349609375,0.7467768138384502,0.7467768138384502
0.7222222222222222,0.21027173584021752,0.9000000000000001,arc_0027,0.6003730411984044,0.1,1.0,20.065761548649743,0.760242387156244,0.0,0,1.0,0,,1.0,0.007310884502121044,1.0,-21.410229377075577,14.191817624011653,#023,44.885767420533824,0.2926856963007687,10.032880774324871,0.6766338461617297,2,0.20722658109564884,82,75,27,1,1,48.14054870605469,0.6926184450721078,0.6926184450721078
0.4166666666666667,1.2199795896492278,0.8800000000000001,arc_0002,0.6003730411984044,0.1,1.0,26.075430113525837,0.7543420420129167,0.0,0,1.0,0,,1.0,0.007424469780826617,1.0,-25.250101914362133,27.079880134728885,Pilanesberg,59.178481247230614,0.2856227010132974,13.037715056762918,0.5697828247309237,3,0.8396481548882625,109,98,2,1,1,54.66455078125,0.6850539000165599,0.6850539000165599
0.5972222222222222,0.20761671117786737,1.0600000000000003,arc_0016,0.3604477885978211,0.1414213562373095,1.0,137.8150903867814,0.7291466926115705,0.0,0,1.0,0,,1.0,0.006213825508210436,1.0,-29.490835757173983,18.380996015013864,#034,318.8264979531785,0.16579924760275067,68.9075451933907,0.8688150562628421,4,0.20468417793967514,299,260,16,2,2,136.86032104492188,0.652752170014834,0.652752170014834
0.6111111111111112,0.08249738168488578,1.0600000000000003,arc_0044,0.3604477885978211,0.1414213562373095,1.0,83.55101088037873,0.7171630840381249,0.0,0,1.0,2,passive margin;shield,1.0,0.007394483353958367,1.0,-12.315259818185739,14.282233927586837,#006,182.44526005439693,0.11891377665497652,41.77550544018936,0.8688150562628421,5,0.08231073572513709,323,315,44,1,1,220.054443359375,0.6373885692796473,0.6373885692796473
0.4722222222222222,0.3460013417032811,1.0000000000000002,arc_0013,0.3604477885978211,0.1414213562373095,1.0,52.44257964529836,0.7109051337235467,0.1358831196421785,0,0.8641168803578215,2,orogenic belt,1.0,0.0073991982918522395,1.0,-29.79939695086871,17.353281360750433,#037,121.50865916134822,0.21796143695147405,26.22128982264918,1.0,6,0.33282457094117934,228,198,13,1,1,84.56739807128906,0.6676915641600333,0.6676915641600333
0.5277777777777778,0.01652929775445878,0.92,arc_0034,0.6003730411984044,0.1,1.0,154.33037311092679,0.703768197610133,0.0,0,1.0,0,,1.0,0.009232230747962651,1.0,-25.44955588048885,24.835960956746437,#016,350.5434577184263,0.020716534437971005,77.16518655546339,0.7788007830714051,7,0.01652779255347263,323,292,34,2,2,31.1761474609375,0.620215637961709,0.620215637961709
0.4166666666666667,0.1763507195424156,0.9400000000000001,arc_0015,1.0,0.0,1.0,24.204154897284567,0.6997104198038395,0.29075668930604687,2,0.7092433106939531,2,orogenic belt,1.0,0.007190590958573973,1.0,-29.3436154732967,17.06575905933677,#035,55.95423278124486,0.19110870323271595,12.102077448642284,0.8688150562628434,8,0.17454503441903887,105,91,15,1,1,34.95769119262695,0.6970216557066279,0.6970216557066279
0.6805555555555556,0.28677224885571523,0.8600000000000001,arc_0041,0.6003730411984044,0.1,1.0,810.3602570756966,0.6992489159983091,0.0677186652666543,3,0.9322813347333457,3,continental back-arc basin;orogenic belt;shield,1.0,0.01509073267210032,0.9833333333333333,21.414072414988123,22.344519736705177,#009,1812.7455714025336,0.08017958003541922,405.1801285378483,0.4650431881340568,9,0.2791612931442066,470,511,41,7,6,111.43878173828125,0.6335218235345808,0.6335218235345808
0.4166666666666667,0.07969389927733177,0.9600000000000001,arc_0036,0.6003730411984044,0.1,1.0,109.91532726788759,0.6936386558669921,0.07911293397888872,2,0.9208870660211113,2,craton;shield,1.0,0.008790425499254045,1.0,-26.161524356986376,22.56052496537311,#014,250.41104224410932,0.025231629441905174,54.957663633943795,0.939413062813476,10,0.07952561168183474,463,415,36,1,1,9.7464599609375,0.6295429504389073,0.6295429504389073
0.4722222222222222,0.1433170499053345,1.1,arc_0035,0.3604477885978211,0.1414213562373095,1.0,161.7069489701354,0.6691078655412426,0.0,0,1.0,0,,1.0,0.009242294271011175,1.0,-25.551740430505593,24.75741885261971,#015,367.4547520227652,-0.01197949561300471,80.8534744850677,0.6766338461617285,11,0.14234381175644956,339,306,35,2,2,33.78466796875,0.5757793147964648,0.5757793147964648
0.5555555555555556,0.46355194533491917,1.24,arc_0022,0.6003730411984044,0.1,1.0,171.71903920810132,0.6637753011073696,0.0,0,1.0,0,,1.0,0.00756590945742676,0.9833333333333333,-21.272384559344957,17.372068867347775,#028,383.9435175376005,0.020926935941701204,85.85951960405066,0.10539922456186433,12,0.43297471698589896,348,325,22,2,2,74.101806640625,0.5689426937273969,0.5689426937273969
0.5972222222222222,0.6604507719411582,0.5800000000000001,arc_0031,0.6003730411984044,0.1,1.0,18.40684704400258,0.6630411965767498,0.0,0,1.0,0,,1.0,0.007120751274457178,0.8666666666666667,-20.46910061359757,15.241268865147129,#019,41.0456853272945,0.16484459499171328,9.20342352200129,0.0010172778436147033,13,0.5786633216516928,74,69,31,1,1,47.42840576171875,0.5680015340727561,0.5680015340727561
0.5277777777777778,0.31952047332658645,0.7000000000000001,arc_0038,0.6003730411984044,0.1,1.0,63.81292454035295,0.6468487823261165,0.0,0,1.0,0,,1.0,0.007041314550569887,0.9833333333333333,-22.011669945976834,30.625293361581917,#012,143.04387363552968,0.07328761189591441,31.906462270176476,0.029729216386158802,14,0.3090732662451246,260,241,38,1,1,36.276031494140625,0.5472420286232262,0.5472420286232262
0.5138888888888888,1.1866524694610083,0.78,arc_0025,0.3604477885978211,0.1414213562373095,1.0,34.576274389999114,0.646275900406179,0.0,0,1.0,0,,1.0,0.007233037260456557,0.7,-21.657907176224114,15.663656355411295,#025,77.41080901952807,0.27219344599781053,17.288137194999557,0.1509774184559147,15,0.8295377788800262,141,130,25,1,1,90.53897094726562,0.5465075646233064,0.5465075646233064
0.5555555555555556,0.49124539721618754,1.1600000000000001,arc_0042,0.3604477885978211,0.1414213562373095,1.0,757.6160794056824,0.6458597210899664,0.10403845421198328,5,0.8959615457880167,7,craton;oceanic crust;orogenic belt;passive margin;shield,1.0,0.006565769083598721,0.95,3.857928392368745,13.020304733862124,#008,1637.0708554179325,0.050340762075742576,378.8080397028412,0.36787944117144167,16,0.4552043294568684,478,477,42,6,6,183.18741607666016,0.5753181807905163,0.5753181807905163
0.4027777777777778,0.07288478155801931,1.12,arc_0005,0.3604477885978211,0.1414213562373095,1.0,284.04840415145713,0.6290284265579257,0.0,0,1.0,0,,1.0,0.009332978049510504,0.8666666666666667,-28.7013189132344,25.712021650261445,#045,654.6132255930358,0.09108185260904383,142.02420207572857,0.5697828247309225,17,0.07275599590187738,408,358,5,3,3,91.6832275390625,0.5243954186640073,0.5243954186640073
0.5972222222222222,0.14068839182150036,1.0200000000000002,arc_0045,0.6003730411984044,0.1,1.0,1624.8852576400366,0.626514990778704,0.515384715860226,26,0.48461528413977395,23,craton;narrow rift;oceanic crust;orogenic belt;passive margin;shield;volcanic arc,1.0,0.007636141549867572,1.0,-3.3356382558679583,36.068016313804755,#005,3510.0763760373206,-0.040108557084477546,812.4426288200183,0.984496437005408,18,0.13976745684486713,473,512,45,13,12,623.7593994140625,0.666537984958915,0.666537984958915
0.5416666666666666,0.14458350802630163,1.4000000000000001,arc_0007,0.3604477885978211,0.1414213562373095,1.0,143.4195796110822,0.6231927110739084,0.0,0,1.0,0,,1.0,0.006766132544023138,0.9833333333333333,-28.324373002926702,18.15579507263195,#043,329.93225997428266,0.20998301759783633,71.7097898055411,0.0019304541362277006,19,0.14358438490152428,308,271,7,2,2,155.11251831054688,0.5169137321460364,0.5169137321460364
0.3194444444444444,0.08540711528389071,0.8800000000000001,arc_0043,0.3604477885978211,0.1414213562373095,0.9794311684048467,17.972992432249526,0.6130922135252611,0.0,0,1.0,0,,1.0,0.007389845465206642,1.0,-13.526234841703284,13.097188509071565,#007,39.341797388955094,-0.07143339085640309,8.986496216124763,0.5697828247309237,20,0.08520005555955705,70,68,43,1,1,81.22198486328125,0.5097658416361471,0.5204713287472551
0.4166666666666667,0.06337939750451109,1.54,arc_0018,0.6003730411984044,0.1,1.0,243.7756311338938,0.6055273171741421,0.0,0,1.0,2,orogenic belt,1.0,0.010825487946446936,0.9833333333333333,-30.58464181842767,20.48142913557959,#032,567.0809283888036,0.03797203223471269,121.8878155669469,1.1300936043146307e-05,21,0.06329466972546684,357,461,18,3,2,103.3016357421875,0.4942657912489001,0.4942657912489001
0.6527777777777778,1.6992428783257134,0.66,arc_0024,0.3604477885978211,0.1414213562373095,1.0,27.858695419783164,0.6050376727234235,0.26139523495854783,2,0.7386047650414522,2,orogenic belt,1.0,0.007340648429245753,0.6333333333333333,-21.128075331206404,14.55060258532659,#026,62.25833827519821,0.4351271007726166,13.929347709891582,0.010936767510604987,22,0.9353143558599089,113,105,24,1,1,130.44268798828125,0.5673649030952614,0.5673649030952614
0.4444444444444444,0.09044013874787693,0.45999999999999996,arc_0021,0.6003730411984044,0.1,1.0,150.3831342320165,0.5819615282762649,0.06177700157741969,2,0.9382229984225803,3,orogenic belt;shield,1.0,0.006378860772178778,0.9,-22.69899949274062,17.412156455270033,#029,337.9333564892189,0.020097839793593735,75.19156711600824,1.1300936043146307e-05,23,0.09019436025936353,308,284,21,2,2,77.36956787109375,0.48147752387602216,0.48147752387602216
0.3194444444444444,0.010613208965957384,0.7000000000000001,arc_0010,0.6003730411984044,0.1,1.0,42.93097194739594,0.5810156296847524,0.0,0,1.0,2,orogenic belt,1.0,0.006893594134672869,0.9,-30.923065954965328,18.02718769691225,#040,100.04345066632531,0.08393678825633513,21.46548597369797,0.029729216386158802,24,0.010612810492568054,189,163,10,1,1,69.75406646728516,0.4628405508778877,0.4628405508778877
0.4444444444444444,0.11255339500285773,0.56,arc_0011,0.6003730411984044,0.1,1.0,39.08334008714788,0.5724567456441668,0.17346650696566396,2,0.826533493034336,2,orogenic belt,1.0,0.007341006729792107,0.9833333333333333,-30.552659137096285,17.759498702260103,#039,90.90229096363406,0.009459866708026106,19.54167004357394,0.0005195746821548399,25,0.11208050565743147,171,147,11,1,1,78.7774772644043,0.5007940733033498,0.5007940733033498
0.2638888888888889,0.36869352216378304,1.54,arc_0004,0.6003730411984044,0.1,1.0,207.16537781803297,0.5695390514198887,0.0,0,1.0,0,,1.0,0.010350305287138005,0.7333333333333333,-28.697601905991167,25.716646899357396,#002,477.4214041622548,0.09968722038875166,103.58268890901648,1.1300936043146307e-05,26,0.3528484214501913,446,392,4,2,2,63.912811279296875,0.44812698899985726,0.44812698899985726
0.4027777777777778,0.21655150504828768,0.6200000000000001,arc_0012,0.3604477885978211,0.1414213562373095,1.0,37.86755867589051,0.5636753591789303,0.0,0,1.0,0,,1.0,0.007899404771353544,0.75,-30.22056521300046,17.578623834368376,#038,87.92501112097833,0.1502977540457467,18.933779337945253,0.0035506485572425546,27,0.21322878929540398,166,143,12,1,1,72.6723403930664,0.4406094348447825,0.4406094348447825
0.3472222222222222,0.04900981723503422,0.48,arc_0039,0.3604477885978211,0.1414213562373095,1.0,39.32660153942888,0.5613147500991412,0.0,0,1.0,0,,1.0,0.0077270404512884295,0.9833333333333333,-23.016285434399258,28.371780787244525,#011,88.47595416334764,-0.07837281708762615,19.66330076971444,2.586810022265412e-05,28,0.04897061499028975,161,148,39,1,1,20.382904052734375,0.43758301294761687,0.43758301294761687
0.375,0.06208780973228798,0.36,arc_0006,0.3604477885978211,0.1414213562373095,1.0,211.26490404172432,0.5598718111685127,0.0,0,1.0,0,,1.0,0.004981299149025823,0.8833333333333333,-26.638976859956774,24.205378322692713,#044,482.3039757522811,0.037043269452735235,105.63245202086216,1.1253517471925912e-07,29,0.06200815187358442,447,399,6,2,2,51.275665283203125,0.43573309124168297,0.43573309124168297
0.4861111111111111,0.19157729142044333,1.5000000000000002,arc_0032,0.6003730411984044,0.1,1.0,1146.99297969289,0.5572190609370937,0.21762347106043212,6,0.7823765289395679,16,craton;orogenic belt;passive margin;shield;volcanic arc,1.0,0.017168860073748078,0.8166666666666667,-17.033332142625735,19.158850431639284,#018,2531.785645517734,0.1297241439331687,573.496489846445,5.739088873946824e-05,30,0.18926744816696472,504,482,32,9,9,281.0141906738281,0.4937131084235754,0.4937131084235754
