candidate_id,structure_id,is_representative
arc_1197,structure_0222,1
arc_0471,structure_0223,1
arc_0998,structure_0224,1
arc_0762,structure_0225,1
arc_0758,structure_0226,1
arc_0247,structure_0227,1
arc_0154,structure_0228,1
arc_0945,structure_0229,1
arc_0083,structure_0230,1
arc_0111,structure_0231,1
arc_0871,structure_0232,1
arc_0934,structure_0233,1
arc_0015,structure_0234,1
arc_1177,structure_0235,1
arc_1023,structure_0236,1
arc_0041,structure_0237,1
arc_0112,structure_0238,1
arc_1165,structure_0239,1
arc_0093,structure_0240,1
arc_0915,structure_0241,1
arc_1043,structure_0242,1
arc_0908,structure_0243,1
arc_0199,structure_0244,1
arc_0057,structure_0245,1
arc_0152,structure_0246,1
arc_1141,structure_0247,1
arc_1183,structure_0248,1
arc_1196,structure_0249,1
arc_0479,structure_0250,1
arc_0885,structure_0251,1
arc_1022,structure_0252,1
arc_0710,structure_0253,1
arc_0501,structure_0254,1
arc_0361,structure_0255,1
arc_1304,structure_0256,1
arc_1203,structure_0257,1
arc_1233,structure_0258,1
arc_1038,structure_0259,1
arc_0061,structure_0260,1
arc_1040,structure_0261,1
arc_0849,structure_0262,1
arc_0897,structure_0263,1
arc_0547,structure_0264,1
arc_0575,structure_0264,0
arc_1160,structure_0265,1
arc_0036,structure_0266,1
arc_0600,structure_0267,1
arc_0760,structure_0268,1
arc_0858,structure_0269,1
arc_0625,structure_0270,1
arc_1104,structure_0271,1
arc_0366,structure_0272,1
arc_0844,structure_0273,1
arc_0292,structure_0274,1
arc_0673,structure_0275,1
arc_0618,structure_0276,1
arc_0955,structure_0277,1
arc_0640,structure_0278,1
arc_0666,structure_0279,1
arc_0864,structure_0280,1
arc_0267,structure_0281,1
arc_0283,structure_0282,1
arc_0688,structure_0283,1
arc_0660,structure_0284,1
arc_1221,structure_0285,1
arc_0723,structure_0286,1
arc_0458,structure_0287,1
arc_0652,structure_0288,1
arc_0715,structure_0289,1
arc_0160,structure_0290,1
arc_1083,structure_0291,1
arc_0380,structure_0292,1
arc_1264,structure_0293,1
arc_0352,structure_0294,1
arc_0606,structure_0295,1
arc_1193,structure_0296,1
arc_0407,structure_0297,1
arc_0353,structure_0298,1
arc_0542,structure_0299,1
arc_1205,structure_0300,1
arc_1181,structure_0301,1
arc_0551,structure_0302,1
arc_0845,structure_0303,1
arc_0889,structure_0304,1
arc_0737,structure_0305,1
arc_1132,structure_0306,1
arc_0979,structure_0307,1
arc_0255,structure_0308,1
arc_0174,structure_0309,1
arc_0173,structure_0309,0
arc_0594,structure_0310,1
arc_0699,structure_0311,1
arc_0780,structure_0312,1
arc_0426,structure_0313,1
arc_0107,structure_0314,1
arc_0990,structure_0315,1
arc_0607,structure_0316,1
arc_0099,structure_0317,1
arc_0884,structure_0318,1
arc_1185,structure_0319,1
arc_1248,structure_0320,1
arc_0435,structure_0321,1
arc_0574,structure_0322,1
arc_1078,structure_0323,1
arc_0103,structure_0324,1
arc_0726,structure_0325,1
arc_1148,structure_0326,1
arc_1037,structure_0327,1
arc_0748,structure_0328,1
arc_0434,structure_0329,1
arc_0921,structure_0330,1
arc_0106,structure_0331,1
arc_1124,structure_0332,1
arc_0058,structure_0333,1
arc_0818,structure_0334,1
arc_0389,structure_0335,1
arc_0645,structure_0336,1
arc_0515,structure_0337,1
arc_0683,structure_0338,1
arc_0062,structure_0339,1
arc_0695,structure_0340,1
arc_1240,structure_0341,1
arc_1036,structure_0342,1
arc_1187,structure_0343,1
arc_0518,structure_0344,1
arc_1052,structure_0345,1
arc_1006,structure_0346,1
arc_0095,structure_0347,1
arc_0315,structure_0348,1
arc_0707,structure_0349,1
arc_0208,structure_0350,1
arc_0796,structure_0351,1
arc_0415,structure_0352,1
arc_0505,structure_0353,1
arc_0461,structure_0354,1
arc_0416,structure_0355,1
arc_0754,structure_0356,1
arc_0158,structure_0357,1
arc_0022,structure_0358,1
arc_0533,structure_0359,1
arc_1056,structure_0360,1
arc_0031,structure_0361,1
arc_1284,structure_0362,1
arc_0071,structure_0363,1
arc_0162,structure_0364,1
arc_1168,structure_0365,1
arc_0651,structure_0366,1
arc_1273,structure_0367,1
arc_0067,structure_0368,1
arc_1225,structure_0369,1
arc_0768,structure_0370,1
arc_0745,structure_0371,1
arc_0559,structure_0372,1
arc_0806,structure_0373,1
arc_0492,structure_0374,1
arc_0078,structure_0375,1
arc_1285,structure_0376,1
arc_0832,structure_0377,1
arc_1163,structure_0378,1
arc_1076,structure_0379,1
arc_0375,structure_0380,1
arc_0932,structure_0381,1
arc_0425,structure_0382,1
arc_0132,structure_0383,1
arc_0299,structure_0384,1
arc_0383,structure_0385,1
arc_0263,structure_0386,1
arc_0131,structure_0387,1
arc_0438,structure_0388,1
arc_0231,structure_0389,1
arc_0933,structure_0390,1
arc_1226,structure_0391,1
arc_0063,structure_0392,1
arc_1175,structure_0393,1
arc_0876,structure_0394,1
arc_0614,structure_0395,1
arc_0648,structure_0396,1
arc_0647,structure_0396,0
arc_0251,structure_0397,1
arc_0344,structure_0398,1
arc_1310,structure_0399,1
arc_0192,structure_0400,1
arc_0728,structure_0401,1
arc_0846,structure_0402,1
arc_1245,structure_0403,1
arc_0941,structure_0404,1
arc_0482,structure_0405,1
arc_0038,structure_0406,1
arc_0025,structure_0407,1
arc_0042,structure_0408,1
arc_0346,structure_0409,1
arc_0122,structure_0410,1
arc_0399,structure_0411,1
arc_0974,structure_0412,1
arc_0431,structure_0413,1
arc_0834,structure_0414,1
arc_1167,structure_0415,1
arc_0649,structure_0415,0
arc_0056,structure_0416,1
arc_0868,structure_0417,1
arc_0378,structure_0418,1
arc_0922,structure_0419,1
arc_0369,structure_0420,1
arc_1044,structure_0421,1
arc_0052,structure_0422,1
arc_1209,structure_0423,1
arc_1210,structure_0423,0
arc_0384,structure_0424,1
arc_0686,structure_0425,1
arc_1152,structure_0426,1
arc_0815,structure_0427,1
arc_0991,structure_0428,1
arc_0800,structure_0429,1
arc_0854,structure_0430,1
arc_1211,structure_0431,1
arc_0115,structure_0432,1
arc_0919,structure_0433,1
arc_0237,structure_0434,1
arc_0713,structure_0435,1
arc_0791,structure_0436,1
arc_0502,structure_0437,1
arc_0385,structure_0438,1
arc_1179,structure_0439,1
arc_1061,structure_0440,1
arc_0439,structure_0441,1
arc_0940,structure_0442,1
arc_0250,structure_0443,1
arc_0877,structure_0444,1
arc_1136,structure_0445,1
arc_0459,structure_0446,1
arc_0342,structure_0447,1
arc_0773,structure_0448,1
arc_1089,structure_0449,1
arc_1154,structure_0450,1
