record_id,source_index,name,source,old_display_name,repaired_display_name,old_diameter_km,rendered_diameter_raw,repaired_diameter_km,diameter_changed,diameter_source_verified,coordinate_status,coordinate_source_distance_km,analytical_include,duplicate_of_record_id,duplicate_resolution_note
astro_0225,225,Highbury,"Reimold & Koeberl (2014), Impact structures in Africa: A review, Journal of African Earth Sciences 93, Tables 2a–2b",Highbury,Highbury,20.0,15–25,20.0,False,False,pdf_source_preserved,,True,,
astro_0226,226,In Ezzane,"Reimold & Koeberl (2014), Impact structures in Africa: A review, Journal of African Earth Sciences 93, Tables 2a–2b",In Ezzane,In Ezzane,6.5,4–9,6.5,False,False,pdf_source_preserved,,True,,
astro_0227,227,Jaraminah,"Reimold & Koeberl (2014), Impact structures in Africa: A review, Journal of African Earth Sciences 93, Tables 2a–2b",Jaraminah,Jaraminah,2.2,2.2,2.2,False,False,pdf_source_preserved,,True,,
astro_0228,228,Karas,"Reimold & Koeberl (2014), Impact structures in Africa: A review, Journal of African Earth Sciences 93, Tables 2a–2b",Karas,Karas,300.0,300,300.0,False,False,pdf_source_preserved,,True,,
astro_0229,229,Kogo,"Reimold & Koeberl (2014), Impact structures in Africa: A review, Journal of African Earth Sciences 93, Tables 2a–2b",Kogo,Kogo,4.7,4.7,4.7,False,False,pdf_source_preserved,,True,,
astro_0230,230,Mékambo,"Reimold & Koeberl (2014), Impact structures in Africa: A review, Journal of African Earth Sciences 93, Tables 2a–2b",Mékambo,Mékambo,50.0,50,50.0,False,False,pdf_source_preserved,,True,,
astro_0231,231,Minkébé,"Reimold & Koeberl (2014), Impact structures in Africa: A review, Journal of African Earth Sciences 93, Tables 2a–2b",Minkébé,Minkébé,90.0,90,90.0,False,False,pdf_source_preserved,,True,,
astro_0232,232,Mora Ring,"Reimold & Koeberl (2014), Impact structures in Africa: A review, Journal of African Earth Sciences 93, Tables 2a–2b",Mora Ring,Mora Ring,7.0,7,7.0,False,False,pdf_source_preserved,,True,,
astro_0233,233,Ntwetwe,"Reimold & Koeberl (2014), Impact structures in Africa: A review, Journal of African Earth Sciences 93, Tables 2a–2b",Ntwetwe,Ntwetwe,7.0,7,7.0,False,False,pdf_source_preserved,,True,,
astro_0234,234,Okavango Delta (Khurunxaraga crater),"Reimold & Koeberl (2014), Impact structures in Africa: A review, Journal of African Earth Sciences 93, Tables 2a–2b",Okavango Delta (Khurunxaraga crater),Okavango Delta (Khurunxaraga crater),0.022,0.022,0.022,False,False,pdf_source_preserved,,True,,
astro_0235,235,Omeonga (Katako-Kombe),"Reimold & Koeberl (2014), Impact structures in Africa: A review, Journal of African Earth Sciences 93, Tables 2a–2b",Omeonga (Katako-Kombe),Omeonga (Katako-Kombe),41.5,38–45,41.5,False,False,pdf_source_preserved,,True,,
astro_0236,236,Oun,"Reimold & Koeberl (2014), Impact structures in Africa: A review, Journal of African Earth Sciences 93, Tables 2a–2b",Oun,Oun,8.0,8,8.0,False,False,pdf_source_preserved,,True,,
astro_0237,237,Reitz structure,"Reimold & Koeberl (2014), Impact structures in Africa: A review, Journal of African Earth Sciences 93, Tables 2a–2b",Reitz structure,Reitz structure,325.0,150–500,325.0,False,False,pdf_source_preserved,,True,,
astro_0238,238,Setlagole,"Reimold & Koeberl (2014), Impact structures in Africa: A review, Journal of African Earth Sciences 93, Tables 2a–2b",Setlagole,Setlagole,27.5,25–30,27.5,False,False,pdf_source_preserved,,True,,
astro_0239,239,Sinamwenda,"Reimold & Koeberl (2014), Impact structures in Africa: A review, Journal of African Earth Sciences 93, Tables 2a–2b",Sinamwenda,Sinamwenda,0.2,0.2,0.2,False,False,pdf_source_preserved,,True,,
astro_0240,240,Temimichat Ghallaman,"Reimold & Koeberl (2014), Impact structures in Africa: A review, Journal of African Earth Sciences 93, Tables 2a–2b",Temimichat Ghallaman,Temimichat Ghallaman,0.7,0.7,0.7,False,False,pdf_source_preserved,,True,,
astro_0241,241,Terhazza,"Reimold & Koeberl (2014), Impact structures in Africa: A review, Journal of African Earth Sciences 93, Tables 2a–2b",Terhazza,Terhazza,1.0,1,1.0,False,False,pdf_source_preserved,,True,,
astro_0242,242,Tigraou,"Reimold & Koeberl (2014), Impact structures in Africa: A review, Journal of African Earth Sciences 93, Tables 2a–2b",Tigraou,Tigraou,1.0,1,1.0,False,False,pdf_source_preserved,,True,,
astro_0243,243,Tongo,"Reimold & Koeberl (2014), Impact structures in Africa: A review, Journal of African Earth Sciences 93, Tables 2a–2b",Tongo,Tongo,11.25,10 × 12.5,11.25,False,False,pdf_source_preserved,,True,,
astro_0244,244,Tmisan,"Reimold & Koeberl (2014), Impact structures in Africa: A review, Journal of African Earth Sciences 93, Tables 2a–2b",Tmisan,Tmisan,3.2,3.2,3.2,False,False,pdf_source_preserved,,True,,
astro_0245,245,Unnamed Okavango Delta geophysical anomaly,"Reimold & Koeberl (2014), Impact structures in Africa: A review, Journal of African Earth Sciences 93, Tables 2a–2b",Unnamed Okavango Delta geophysical anomaly,Unnamed Okavango Delta geophysical anomaly,17.5,15–20,17.5,False,False,pdf_source_preserved,,True,,
astro_0246,246,Unnamed Sudan Di Achille structure,"Reimold & Koeberl (2014), Impact structures in Africa: A review, Journal of African Earth Sciences 93, Tables 2a–2b",Unnamed Sudan Di Achille structure,Unnamed Sudan Di Achille structure,5.75,5.5–6,5.75,False,False,pdf_source_preserved,,True,,
astro_0247,247,Unnamed Sudan Sparavigna 1,"Reimold & Koeberl (2014), Impact structures in Africa: A review, Journal of African Earth Sciences 93, Tables 2a–2b",Unnamed Sudan Sparavigna 1,Unnamed Sudan Sparavigna 1,3.0,3,3.0,False,False,pdf_source_preserved,,True,,
astro_0248,248,Unnamed Sudan Sparavigna 2,"Reimold & Koeberl (2014), Impact structures in Africa: A review, Journal of African Earth Sciences 93, Tables 2a–2b",Unnamed Sudan Sparavigna 2,Unnamed Sudan Sparavigna 2,6.5,6–7,6.5,False,False,pdf_source_preserved,,True,,
astro_0249,249,Unnamed Sudan McNally/Sparavigna,"Reimold & Koeberl (2014), Impact structures in Africa: A review, Journal of African Earth Sciences 93, Tables 2a–2b",Unnamed Sudan McNally/Sparavigna,Unnamed Sudan McNally/Sparavigna,10.0,10,10.0,False,False,pdf_source_preserved,,True,,
astro_0250,250,Unnamed Angola structure,"Reimold & Koeberl (2014), Impact structures in Africa: A review, Journal of African Earth Sciences 93, Tables 2a–2b",Unnamed Angola structure,Unnamed Angola structure,1.0,1.1 × 0.9,1.0,False,False,pdf_source_preserved,,True,,
astro_0251,251,Unnamed (Jebel al Bukrah),"Reimold & Koeberl (2014), Impact structures in Africa: A review, Journal of African Earth Sciences 93, Tables 2a–2b",Unnamed (Jebel al Bukrah),Unnamed (Jebel al Bukrah),5.0,5,5.0,False,False,pdf_source_preserved,,True,,
astro_0252,252,Uri,"Reimold & Koeberl (2014), Impact structures in Africa: A review, Journal of African Earth Sciences 93, Tables 2a–2b",Uri,Uri,5.0,5,5.0,False,False,pdf_source_preserved,,True,,
